city,action,score,llm_output
Novo Horizonte,Bike lanes,60.7,
Santa Vitória,Bike lanes,59.16666666666667,
Novo Horizonte,Urban Tree Planting,56.2,
Novo Horizonte,Water Recycling,56.0,
Novo Horizonte,Electric Bus Fleet,55.900000000000006,
Novo Horizonte,Green Roofs,53.06666666666668,
Novo Horizonte,Flood Barriers,52.16666666666667,
Novo Horizonte,Solar Panels,51.56666666666667,
Santa Vitória,Sea wall,50.0,
Novo Horizonte,Sea wall,48.66666666666667,
Santa Vitória,Green Roofs,37.5,
Santa Vitória,Water Recycling,37.22222222222223,
Santa Vitória,Urban Tree Planting,36.54761904761905,
Santa Vitória,Solar Panels,25.681818181818187,
Santa Vitória,Electric Bus Fleet,25.357142857142858,
Santa Vitória,Flood Barriers,22.685185185185183,
