city,action,score
Santa Vitória,Local Seed Banks,76.0
Santa Vitória,Community Composting,69.0
Santa Vitória,Rainwater Harvesting Systems,60.33333333333334
Santa Vitória,Bike lanes,59.16666666666667
Santa Vitória,Landslide Early Warning System,57.5
Santa Vitória,Local Food Production,56.333333333333336
Santa Vitória,Trail Restoration,56.16666666666667
Santa Vitória,Forest Management Programs,55.833333333333336
Santa Vitória,Energy-Efficient Wood Stoves,55.50000000000001
Santa Vitória,Efficient Wood Stoves,55.333333333333336
Novo Horizonte,Local Seed Banks,76.61333333333333
Novo Horizonte,Community Composting,69.30666666666667
Novo Horizonte,Rainwater Harvesting Systems,60.79333333333334
Novo Horizonte,Bike lanes,60.7
Novo Horizonte,Urban Cooling Centers,60.50000000000001
Novo Horizonte,Landslide Early Warning System,59.800000000000004
Novo Horizonte,Forest Management Programs,59.66666666666667
Novo Horizonte,Wind Energy Farms,58.16666666666667
Novo Horizonte,Flood-Resilient Infrastructure,58.06666666666668
Novo Horizonte,Snow Management Practices,58.06666666666668
Porto Verde,Local Seed Banks,76.53333333333333
Porto Verde,Community Composting,69.26666666666668
Porto Verde,Rainwater Harvesting Systems,60.733333333333334
Porto Verde,Bike lanes,60.50000000000001
Porto Verde,Urban Cooling Centers,60.00000000000001
Porto Verde,Landslide Early Warning System,59.5
Porto Verde,Forest Management Programs,59.16666666666667
Porto Verde,Flood-Resilient Infrastructure,57.66666666666667
Porto Verde,Snow Management Practices,57.66666666666667
Porto Verde,Glacier Monitoring,57.50000000000001
Serra Branca,Local Seed Banks,76.64444444444445
Serra Branca,Community Composting,69.32222222222222
Serra Branca,Sea wall,66.11111111111111
Serra Branca,Rainwater Harvesting Systems,60.81666666666668
Serra Branca,Bike lanes,60.777777777777786
Serra Branca,Urban Cooling Centers,60.69444444444445
Serra Branca,Landslide Early Warning System,59.91666666666667
Serra Branca,Forest Management Programs,59.861111111111114
Serra Branca,Wind Energy Farms,59.72222222222223
Serra Branca,Reforestation Program,58.611111111111114
Vila Esperança,Local Seed Banks,73.33333333333334
Vila Esperança,Community Composting,67.66666666666667
Vila Esperança,Rainwater Harvesting Systems,58.33333333333334
Vila Esperança,Trail Restoration,54.16666666666667
Vila Esperança,Local Food Production,53.0
Vila Esperança,Bike lanes,52.50000000000001
Vila Esperança,Energy-Efficient Wood Stoves,52.16666666666667
Vila Esperança,Efficient Wood Stoves,52.0
Vila Esperança,Urban Garden Initiatives,50.16666666666667
Vila Esperança,Water-Efficient Irrigation,50.00000000000001
