city,action,score,qualitative_score,llm_output
Novo Horizonte,Flood Barriers,48.611111111111114,Medium,
Santa Vitória,Sea wall,44.44444444444445,Medium,
Serra Branca,Sea wall,44.44444444444445,Medium,
Vila Esperança,Flood Barriers,43.05555555555556,Medium,
Vila Esperança,Electric Bus Fleet,40.0,Low,
Porto Verde,Flood Barriers,37.5,Low,
Novo Horizonte,Solar Panels,36.38888888888889,Low,
Vila Esperança,Solar Panels,35.833333333333336,Low,
Novo Horizonte,Electric Bus Fleet,34.44444444444445,Low,
Serra Branca,Flood Barriers,34.027777777777786,Low,
Santa Vitória,Flood Barriers,33.61111111111111,Low,
Porto Verde,Electric Bus Fleet,31.666666666666664,Low,
Porto Verde,Solar Panels,29.166666666666668,Low,
Novo Horizonte,Sea wall,27.77777777777778,Low,
Porto Verde,Sea wall,27.77777777777778,Low,
Vila Esperança,Sea wall,27.77777777777778,Low,
Serra Branca,Electric Bus Fleet,26.458333333333332,Low,
Novo Horizonte,Water Recycling,25.277777777777782,Low,
Serra Branca,Solar Panels,25.0,Low,
Novo Horizonte,Urban Tree Planting,24.583333333333336,Low,
Santa Vitória,Electric Bus Fleet,24.444444444444446,Low,
Santa Vitória,Solar Panels,23.88888888888889,Low,
Vila Esperança,Water Recycling,23.05555555555556,Low,
Santa Vitória,Water Recycling,22.77777777777778,Low,
Porto Verde,Water Recycling,20.833333333333336,Low,
Vila Esperança,Urban Tree Planting,20.138888888888886,Low,
Serra Branca,Water Recycling,19.444444444444446,Very Low,
Porto Verde,Urban Tree Planting,15.694444444444445,Very Low,
Novo Horizonte,Green Roofs,15.0,Very Low,
Santa Vitória,Urban Tree Planting,13.333333333333334,Very Low,
Serra Branca,Urban Tree Planting,12.916666666666664,Very Low,
Vila Esperança,Green Roofs,12.222222222222223,Very Low,
Santa Vitória,Bike lanes,10.833333333333334,Very Low,
Novo Horizonte,Bike lanes,10.833333333333334,Very Low,
Porto Verde,Bike lanes,10.833333333333334,Very Low,
Serra Branca,Bike lanes,10.833333333333334,Very Low,
Vila Esperança,Bike lanes,10.833333333333334,Very Low,
Santa Vitória,Green Roofs,10.0,Very Low,
Porto Verde,Green Roofs,9.444444444444445,Very Low,
Serra Branca,Green Roofs,7.708333333333334,Very Low,
